# Bin     Bin Center     Bin Content
  282       1241.392         0.500
  283       1244.596         0.475
  284       1247.788         0.484
  285       1250.967         0.479
  286       1254.176         0.434
  287       1257.373         0.502
  288       1260.518         0.497
  289       1263.651         0.498
  290       1266.772         0.494
  291       1269.882         0.484
  292       1272.981         0.568
  293       1276.067         0.485
  294       1279.143         0.502
  295       1282.207         0.478
  296       1285.258         0.482
  297       1288.331         0.483
  298       1291.392         0.481
  299       1294.409         0.509
  300       1297.416         0.471
  301       1300.410         0.496
  302       1303.392         0.505
  303       1306.363         0.499
  304       1309.323         0.480
  305       1312.311         0.477
  306       1315.287         0.506
  307       1318.214         0.506
  308       1321.129         0.502
  309       1324.034         0.506
  310       1326.927         0.491
  311       1329.811         0.498
  312       1332.683         0.488
  313       1335.545         0.502
  314       1338.396         0.493
  315       1341.276         0.513
  316       1344.145         0.515
  317       1346.962         0.502
  318       1349.757         0.489
  319       1352.532         0.450
  320       1355.304         0.491
  321       1358.085         0.465
  322       1360.913         -0.000
  323       1363.803         0.476
  324       1366.739         0.477
  325       1369.729         0.469
  326       1372.772         0.463
  327       1375.868         0.449
  328       1379.012         0.848
  329       1382.197         -3.186
  330       1385.416         -0.435
  331       1388.658         0.002
  332       1391.913         0.236
  333       1395.170         -0.000
  334       1398.414         -0.556
  335       1401.638         -11.013
  336       1404.833         0.000
  337       1407.988         0.017
  338       1411.095         1096.022
  339       1414.148         403.878
  340       1417.140         -24.884
  341       1420.062         -28.012
  342       1422.912         95.082
  343       1425.683         0.001
  344       1428.371         0.016
  345       1430.973         -0.000
  346       1433.489         -0.000
  347       1435.915         0.099
  348       1438.249         -0.000
  349       1440.494         0.074
  350       1442.657         0.000
  351       1444.739         -0.033
  352       1446.736         0.000
