# Bin     Bin Center     Bin Content
  282       1241.392         0.576
  283       1244.596         0.649
  284       1247.788         0.582
  285       1250.967         0.511
  286       1254.176         -0.679
  287       1257.373         -0.129
  288       1260.518         0.606
  289       1263.651         0.558
  290       1266.772         0.569
  291       1269.882         0.586
  292       1272.981         -0.182
  293       1276.067         -0.197
  294       1279.143         0.570
  295       1282.207         0.626
  296       1285.258         0.617
  297       1288.331         0.826
  298       1291.392         3.292
  299       1294.409         0.591
  300       1297.416         -1.273
  301       1300.410         1.599
  302       1303.392         0.577
  303       1306.363         0.604
  304       1309.323         0.637
  305       1312.311         0.975
  306       1315.287         0.558
  307       1318.214         0.572
  308       1321.129         0.636
  309       1324.034         0.642
  310       1326.927         0.607
  311       1329.811         1.092
  312       1332.683         0.568
  313       1335.545         1.469
  314       1338.396         5.063
  315       1341.276         -0.510
  316       1344.145         -2.263
  317       1346.962         0.563
  318       1349.757         0.619
  319       1352.532         0.557
  320       1355.304         0.818
  321       1358.085         0.869
  322       1360.913         -0.000
  323       1363.803         0.536
  324       1366.739         0.567
  325       1369.729         0.545
  326       1372.772         0.603
  327       1375.868         0.882
  328       1379.012         -0.028
  329       1382.197         -0.066
  330       1385.416         -0.000
  331       1388.658         0.003
  332       1391.913         -0.005
  333       1395.170         -0.000
  334       1398.414         -0.019
  335       1401.638         -0.318
  336       1404.833         -0.000
  337       1407.988         0.020
  338       1411.095         -2.974
  339       1414.148         -5.067
  340       1417.140         -1.138
  341       1420.062         -0.615
  342       1422.912         -0.338
  343       1425.683         0.002
  344       1428.371         -0.022
  345       1430.973         -0.000
  346       1433.489         -0.000
  347       1435.915         -0.010
  348       1438.249         -0.000
  349       1440.494         -0.029
  350       1442.657         0.020
  351       1444.739         -0.001
  352       1446.736         -0.000
