# Bin     Bin Center     Bin Content
  284       1247.788         0.499
  285       1250.967         0.518
  286       1254.176         0.540
  287       1257.373         0.487
  288       1260.518         0.522
  289       1263.651         0.520
  290       1266.772         0.498
  291       1269.882         0.497
  292       1272.981         0.474
  293       1276.067         0.481
  294       1279.143         0.512
  295       1282.207         0.483
  296       1285.258         0.495
  297       1288.331         0.534
  298       1291.392         0.486
  299       1294.409         0.506
  300       1297.416         0.521
  301       1300.410         0.512
  302       1303.392         0.519
  303       1306.363         0.520
  304       1309.323         0.486
  305       1312.311         0.496
  306       1315.287         0.513
  307       1318.214         0.534
  308       1321.129         0.483
  309       1324.034         0.484
  310       1326.927         0.501
  311       1329.811         0.505
  312       1332.683         0.514
  313       1335.545         0.508
  314       1338.396         0.482
  315       1341.276         0.551
  316       1344.145         0.479
  317       1346.962         0.505
  318       1349.757         0.490
  319       1352.532         0.485
  320       1355.304         0.491
  321       1358.085         0.490
  322       1360.913         -0.000
  323       1363.803         0.472
  324       1366.739         0.485
  325       1369.729         0.453
  326       1372.772         0.465
  327       1375.868         0.472
  328       1379.012         0.623
  329       1382.197         25.966
  330       1385.416         4.061
  331       1388.658         0.003
  332       1391.913         0.082
  333       1395.170         0.348
  334       1398.414         2.404
  335       1401.638         13.366
  336       1404.833         0.000
  337       1407.988         0.022
  338       1411.095         69.005
  339       1414.148         110.251
  340       1417.140         144.622
  341       1420.062         27.697
  342       1422.912         23.965
  343       1425.683         0.001
  344       1428.371         0.025
  345       1430.973         0.000
  346       1433.489         0.000
  347       1435.915         0.010
  348       1438.249         -0.000
  349       1440.494         0.077
  350       1442.657         0.000
  351       1444.739         0.811
  352       1446.736         0.000
