# Bin     Bin Center     Bin Content
  284       1247.788         0.703
  285       1250.967         0.700
  286       1254.176         0.848
  287       1257.373         0.815
  288       1260.518         0.726
  289       1263.651         0.710
  290       1266.772         0.682
  291       1269.882         0.681
  292       1272.981         0.902
  293       1276.067         0.886
  294       1279.143         0.725
  295       1282.207         0.683
  296       1285.258         0.679
  297       1288.331         0.776
  298       1291.392         0.686
  299       1294.409         0.690
  300       1297.416         0.901
  301       1300.410         0.872
  302       1303.392         0.727
  303       1306.363         0.697
  304       1309.323         0.666
  305       1312.311         0.707
  306       1315.287         0.737
  307       1318.214         0.744
  308       1321.129         0.706
  309       1324.034         0.632
  310       1326.927         0.710
  311       1329.811         0.700
  312       1332.683         0.675
  313       1335.545         0.781
  314       1338.396         0.803
  315       1341.276         0.781
  316       1344.145         0.717
  317       1346.962         0.658
  318       1349.757         0.660
  319       1352.532         0.634
  320       1355.304         0.649
  321       1358.085         0.648
  322       1360.913         0.000
  323       1363.803         0.625
  324       1366.739         0.609
  325       1369.729         0.583
  326       1372.772         0.634
  327       1375.868         0.593
  328       1379.012         1.031
  329       1382.197         0.688
  330       1385.416         1.333
  331       1388.658         1.500
  332       1391.913         1.500
  333       1395.170         0.000
  334       1398.414         0.667
  335       1401.638         0.744
  336       1404.833         0.000
  337       1407.988         0.847
  338       1411.095         0.593
  339       1414.148         0.653
  340       1417.140         0.630
  341       1420.062         0.632
  342       1422.912         0.621
  343       1425.683         0.833
  344       1428.371         1.000
  345       1430.973         0.000
  346       1433.489         0.000
  347       1435.915         0.250
  348       1438.249         0.000
  349       1440.494         0.682
  350       1442.657         0.000
  351       1444.739         0.000
  352       1446.736         0.000
