# Bin     Bin Center     Bin Content
  284       1247.788         0.879
  285       1250.967         0.957
  286       1254.176         0.755
  287       1257.373         1.094
  288       1260.518         0.963
  289       1263.651         0.980
  290       1266.772         0.971
  291       1269.882         1.002
  292       1272.981         0.685
  293       1276.067         0.723
  294       1279.143         0.982
  295       1282.207         0.931
  296       1285.258         0.930
  297       1288.331         1.103
  298       1291.392         0.985
  299       1294.409         0.982
  300       1297.416         0.822
  301       1300.410         0.817
  302       1303.392         0.994
  303       1306.363         1.030
  304       1309.323         1.007
  305       1312.311         0.965
  306       1315.287         1.017
  307       1318.214         0.962
  308       1321.129         1.112
  309       1324.034         1.040
  310       1326.927         0.948
  311       1329.811         1.022
  312       1332.683         0.940
  313       1335.545         0.809
  314       1338.396         0.837
  315       1341.276         1.014
  316       1344.145         1.042
  317       1346.962         0.969
  318       1349.757         1.010
  319       1352.532         0.817
  320       1355.304         0.750
  321       1358.085         0.811
  322       1360.913         0.000
  323       1363.803         0.913
  324       1366.739         0.899
  325       1369.729         0.867
  326       1372.772         0.868
  327       1375.868         0.869
  328       1379.012         0.645
  329       1382.197         0.483
  330       1385.416         0.556
  331       1388.658         0.167
  332       1391.913         0.400
  333       1395.170         0.000
  334       1398.414         0.750
  335       1401.638         0.795
  336       1404.833         0.000
  337       1407.988         0.902
  338       1411.095         0.832
  339       1414.148         0.873
  340       1417.140         0.878
  341       1420.062         0.852
  342       1422.912         0.935
  343       1425.683         0.800
  344       1428.371         0.588
  345       1430.973         0.000
  346       1433.489         0.000
  347       1435.915         3.000
  348       1438.249         0.000
  349       1440.494         1.105
  350       1442.657         0.000
  351       1444.739         0.000
  352       1446.736         0.000
