# Bin     Bin Center     Bin Content
  284       1247.788         0.838
  285       1250.967         0.855
  286       1254.176         0.749
  287       1257.373         0.738
  288       1260.518         0.886
  289       1263.651         0.879
  290       1266.772         0.851
  291       1269.882         0.910
  292       1272.981         0.458
  293       1276.067         0.596
  294       1279.143         0.890
  295       1282.207         0.903
  296       1285.258         0.848
  297       1288.331         0.863
  298       1291.392         0.835
  299       1294.409         0.885
  300       1297.416         0.562
  301       1300.410         0.533
  302       1303.392         0.906
  303       1306.363         0.853
  304       1309.323         0.833
  305       1312.311         0.858
  306       1315.287         0.893
  307       1318.214         0.888
  308       1321.129         0.895
  309       1324.034         0.818
  310       1326.927         0.805
  311       1329.811         0.798
  312       1332.683         0.869
  313       1335.545         0.660
  314       1338.396         0.707
  315       1341.276         0.762
  316       1344.145         0.755
  317       1346.962         0.767
  318       1349.757         0.843
  319       1352.532         0.778
  320       1355.304         0.675
  321       1358.085         0.607
  322       1360.913         0.000
  323       1363.803         0.752
  324       1366.739         0.716
  325       1369.729         0.755
  326       1372.772         0.749
  327       1375.868         0.772
  328       1379.012         0.568
  329       1382.197         0.879
  330       1385.416         0.364
  331       1388.658         1.000
  332       1391.913         0.417
  333       1395.170         0.000
  334       1398.414         1.714
  335       1401.638         0.671
  336       1404.833         0.000
  337       1407.988         0.719
  338       1411.095         0.764
  339       1414.148         0.748
  340       1417.140         0.697
  341       1420.062         0.676
  342       1422.912         0.779
  343       1425.683         0.600
  344       1428.371         1.071
  345       1430.973         0.000
  346       1433.489         0.000
  347       1435.915         0.727
  348       1438.249         0.000
  349       1440.494         1.158
  350       1442.657         0.000
  351       1444.739         0.000
  352       1446.736         0.000
