# Bin     Bin Center     Bin Content
  282       1241.392         0.507
  283       1244.596         0.476
  284       1247.788         0.510
  285       1250.967         0.519
  286       1254.176         0.518
  287       1257.373         0.634
  288       1260.518         0.507
  289       1263.651         0.529
  290       1266.772         0.510
  291       1269.882         0.500
  292       1272.981         0.484
  293       1276.067         0.485
  294       1279.143         0.531
  295       1282.207         0.513
  296       1285.258         0.511
  297       1288.331         0.500
  298       1291.392         0.560
  299       1294.409         0.523
  300       1297.416         0.546
  301       1300.410         0.510
  302       1303.392         0.533
  303       1306.363         0.534
  304       1309.323         0.532
  305       1312.311         0.519
  306       1315.287         0.543
  307       1318.214         0.549
  308       1321.129         0.532
  309       1324.034         0.511
  310       1326.927         0.522
  311       1329.811         0.524
  312       1332.683         0.512
  313       1335.545         0.513
  314       1338.396         0.527
  315       1341.276         0.504
  316       1344.145         0.501
  317       1346.962         0.490
  318       1349.757         0.479
  319       1352.532         0.503
  320       1355.304         0.482
  321       1358.085         0.478
  322       1360.913         -0.000
  323       1363.803         0.485
  324       1366.739         0.480
  325       1369.729         0.494
  326       1372.772         0.480
  327       1375.868         0.484
  328       1379.012         0.559
  329       1382.197         18.029
  330       1385.416         -0.098
  331       1388.658         0.001
  332       1391.913         0.194
  333       1395.170         -0.000
  334       1398.414         -1.202
  335       1401.638         -654.088
  336       1404.833         0.000
  337       1407.988         0.010
  338       1411.095         123.109
  339       1414.148         9038.842
  340       1417.140         -60.462
  341       1420.062         -77.943
  342       1422.912         42.917
  343       1425.683         0.001
  344       1428.371         0.030
  345       1430.973         -0.000
  346       1433.489         -0.000
  347       1435.915         0.009
  348       1438.249         -0.000
  349       1440.494         0.138
  350       1442.657         0.001
  351       1444.739         -0.077
  352       1446.736         0.000
