# Bin     Bin Center     Bin Content
  284       1247.788         0.498
  285       1250.967         0.492
  286       1254.176         0.437
  287       1257.373         0.289
  288       1260.518         0.469
  289       1263.651         0.490
  290       1266.772         0.491
  291       1269.882         0.468
  292       1272.981         0.352
  293       1276.067         0.397
  294       1279.143         0.488
  295       1282.207         0.497
  296       1285.258         0.490
  297       1288.331         0.418
  298       1291.392         0.458
  299       1294.409         0.478
  300       1297.416         0.427
  301       1300.410         0.438
  302       1303.392         0.485
  303       1306.363         0.483
  304       1309.323         0.475
  305       1312.311         0.459
  306       1315.287         0.488
  307       1318.214         0.494
  308       1321.129         0.467
  309       1324.034         0.468
  310       1326.927         0.489
  311       1329.811         0.445
  312       1332.683         0.486
  313       1335.545         0.442
  314       1338.396         0.443
  315       1341.276         0.374
  316       1344.145         0.399
  317       1346.962         0.487
  318       1349.757         0.466
  319       1352.532         0.502
  320       1355.304         0.455
  321       1358.085         0.467
  322       1360.913         0.000
  323       1363.803         0.489
  324       1366.739         0.487
  325       1369.729         0.475
  326       1372.772         0.469
  327       1375.868         0.459
  328       1379.012         0.222
  329       1382.197         0.498
  330       1385.416         0.126
  331       1388.658         0.003
  332       1391.913         0.032
  333       1395.170         0.000
  334       1398.414         0.153
  335       1401.638         2.921
  336       1404.833         0.002
  337       1407.988         0.019
  338       1411.095         20.008
  339       1414.148         37.175
  340       1417.140         7.519
  341       1420.062         4.170
  342       1422.912         1.972
  343       1425.683         0.001
  344       1428.371         0.023
  345       1430.973         0.000
  346       1433.489         0.000
  347       1435.915         0.005
  348       1438.249         0.000
  349       1440.494         0.046
  350       1442.657         0.001
  351       1444.739         0.000
  352       1446.736         0.000
