# Bin     Bin Center     Bin Content
  284       1247.788         1.096
  285       1250.967         1.043
  286       1254.176         0.800
  287       1257.373         0.682
  288       1260.518         1.082
  289       1263.651         1.107
  290       1266.772         1.107
  291       1269.882         1.095
  292       1272.981         1.041
  293       1276.067         1.080
  294       1279.143         1.110
  295       1282.207         1.052
  296       1285.258         1.113
  297       1288.331         1.042
  298       1291.392         1.167
  299       1294.409         1.137
  300       1297.416         0.826
  301       1300.410         0.906
  302       1303.392         1.143
  303       1306.363         1.096
  304       1309.323         1.095
  305       1312.311         1.114
  306       1315.287         1.114
  307       1318.214         1.127
  308       1321.129         1.079
  309       1324.034         1.165
  310       1326.927         1.078
  311       1329.811         1.149
  312       1332.683         1.159
  313       1335.545         0.906
  314       1338.396         1.047
  315       1341.276         1.208
  316       1344.145         1.016
  317       1346.962         1.080
  318       1349.757         1.141
  319       1352.532         1.032
  320       1355.304         0.992
  321       1358.085         0.887
  322       1360.913         0.000
  323       1363.803         1.041
  324       1366.739         0.995
  325       1369.729         0.976
  326       1372.772         0.968
  327       1375.868         0.961
  328       1379.012         0.529
  329       1382.197         0.558
  330       1385.416         0.000
  331       1388.658         0.000
  332       1391.913         0.750
  333       1395.170         0.000
  334       1398.414         0.333
  335       1401.638         0.780
  336       1404.833         0.000
  337       1407.988         0.932
  338       1411.095         0.971
  339       1414.148         0.945
  340       1417.140         0.953
  341       1420.062         0.924
  342       1422.912         0.958
  343       1425.683         1.000
  344       1428.371         1.000
  345       1430.973         0.000
  346       1433.489         0.000
  347       1435.915         0.667
  348       1438.249         0.000
  349       1440.494         1.316
  350       1442.657         0.000
  351       1444.739         2.000
  352       1446.736         0.000
