# Bin     Bin Center     Bin Content
  284       1247.788         0.819
  285       1250.967         0.805
  286       1254.176         1.088
  287       1257.373         1.022
  288       1260.518         0.844
  289       1263.651         0.800
  290       1266.772         0.843
  291       1269.882         0.847
  292       1272.981         1.866
  293       1276.067         1.747
  294       1279.143         0.827
  295       1282.207         0.814
  296       1285.258         0.830
  297       1288.331         0.908
  298       1291.392         0.786
  299       1294.409         0.829
  300       1297.416         1.282
  301       1300.410         1.360
  302       1303.392         0.862
  303       1306.363         0.822
  304       1309.323         0.838
  305       1312.311         0.833
  306       1315.287         0.859
  307       1318.214         0.865
  308       1321.129         0.930
  309       1324.034         0.790
  310       1326.927         0.902
  311       1329.811         0.860
  312       1332.683         0.805
  313       1335.545         1.082
  314       1338.396         1.135
  315       1341.276         0.951
  316       1344.145         0.917
  317       1346.962         0.876
  318       1349.757         0.833
  319       1352.532         0.792
  320       1355.304         0.852
  321       1358.085         0.865
  322       1360.913         0.000
  323       1363.803         0.765
  324       1366.739         0.696
  325       1369.729         0.700
  326       1372.772         0.737
  327       1375.868         0.679
  328       1379.012         0.969
  329       1382.197         1.109
  330       1385.416         1.500
  331       1388.658         1.000
  332       1391.913         1.500
  333       1395.170         0.000
  334       1398.414         0.667
  335       1401.638         0.955
  336       1404.833         0.000
  337       1407.988         1.051
  338       1411.095         0.734
  339       1414.148         0.730
  340       1417.140         0.710
  341       1420.062         0.733
  342       1422.912         0.761
  343       1425.683         0.667
  344       1428.371         0.900
  345       1430.973         0.000
  346       1433.489         0.000
  347       1435.915         0.500
  348       1438.249         0.000
  349       1440.494         0.636
  350       1442.657         0.000
  351       1444.739         0.000
  352       1446.736         0.000
