# Bin     Bin Center     Bin Content
  284       1247.788         1.079
  285       1250.967         1.110
  286       1254.176         0.854
  287       1257.373         0.955
  288       1260.518         1.058
  289       1263.651         1.082
  290       1266.772         1.077
  291       1269.882         1.089
  292       1272.981         1.000
  293       1276.067         0.814
  294       1279.143         1.125
  295       1282.207         1.106
  296       1285.258         1.141
  297       1288.331         1.086
  298       1291.392         1.092
  299       1294.409         1.127
  300       1297.416         0.734
  301       1300.410         0.775
  302       1303.392         1.081
  303       1306.363         1.122
  304       1309.323         1.080
  305       1312.311         1.104
  306       1315.287         1.137
  307       1318.214         1.148
  308       1321.129         1.071
  309       1324.034         1.156
  310       1326.927         1.028
  311       1329.811         1.043
  312       1332.683         1.145
  313       1335.545         0.845
  314       1338.396         0.997
  315       1341.276         1.243
  316       1344.145         0.957
  317       1346.962         1.012
  318       1349.757         0.998
  319       1352.532         1.071
  320       1355.304         0.900
  321       1358.085         0.869
  322       1360.913         0.000
  323       1363.803         0.976
  324       1366.739         0.922
  325       1369.729         0.945
  326       1372.772         0.965
  327       1375.868         1.021
  328       1379.012         1.471
  329       1382.197         0.692
  330       1385.416         0.000
  331       1388.658         1.667
  332       1391.913         1.750
  333       1395.170         0.000
  334       1398.414         1.000
  335       1401.638         0.650
  336       1404.833         0.000
  337       1407.988         0.796
  338       1411.095         0.996
  339       1414.148         0.949
  340       1417.140         0.946
  341       1420.062         1.042
  342       1422.912         0.898
  343       1425.683         0.714
  344       1428.371         1.333
  345       1430.973         0.000
  346       1433.489         0.000
  347       1435.915         0.833
  348       1438.249         0.000
  349       1440.494         1.263
  350       1442.657         4.000
  351       1444.739         7.000
  352       1446.736         0.000
